名称,地址,户型,总面积/平米,朝向,装修,楼层,始于,类型,总价/万,单价元/平米
香花畦家园,后沙峪,3室1厅,144.93平米,南 北,简装,底层(共7层),2006,板楼,788,54372
金地格林小镇,亦庄,4室2厅,175.55平米,南 北,精装,底层(共5层),2004,板楼,1100,62661
富强东里,黄村中,2室1厅,60平米,南 北,简装,低楼层(共7层),1989,板楼,225,37500
白云观,木樨地,2室1厅,54.9平米,南 北,精装,高楼层(共6层),1983,板楼,715,130237
北纬40度二期,望京,2室2厅,101.68平米,南 北,简装,中楼层(共25层),2009,板楼,760,74745
玉皇庄小区,丰台其它,2室1厅,51.59平米,南 北,简装,中楼层(共6层),1985,板楼,188,36442
天福园,朝阳门外,2室2厅,60.33平米,南 北,精装,中楼层(共6层),1994,板楼,599,99288
白广路二条4号院,牛街,,,,,,,,399,86178
新悦家园,鼓楼大街,2室1厅,89.27平米,西,精装,低楼层(共28层),2010,塔楼,318,35623
五里店,五里店,2室1厅,71.1平米,南 北,简装,中楼层(共6层),1998,板楼,315,44304
滨河东里,枣园,2室1厅,58.09平米,南 北,精装,高楼层(共6层),1988,板楼,215,37012
北街家园六区,沙河,2室1厅,61.69平米,东,精装,中楼层(共18层),2009,板楼,328,53170
张郭庄小区,丰台其它,2室1厅,54.5平米,南,简装,顶层(共6层),1984,板楼,182,33395
首开康乃馨城,枣园,2室1厅,73.58平米,南,简装,中楼层(共9层),2012,板楼,268,36423
新桥大街39号院,大峪,2室1厅,72.2平米,南 北,简装,中楼层(共6层),1995,板楼,239,33103
东方小区,门头沟其它,3室1厅,72.83平米,南 北,精装,中楼层(共4层),1986,板楼,122,16752
香花畦家园,后沙峪,4室2厅,166.22平米,南 北,精装,底层(共7层),2006,板楼,810,48731
白云路七号院,木樨地,2室1厅,57.8平米,南 北,简装,中楼层(共6层),1988,板楼,745,128893
望京西园三区,望京,1室1厅,87.34平米,南,精装,中楼层(共22层),2000,板塔结合,550,62973
永安南里,建国门外,2室1厅,55.09平米,南 北,简装,中楼层(共5层),1972,板楼,451,81867
昆泰国际公寓,朝阳门外,2室1厅,128.12平米,南 北,精装,低楼层(共24层),2005,塔楼,880,68686
朝阳门南大街,朝阳门外,2室1厅,76.57平米,西北,精装,低楼层(共20层),1996,塔楼,572,74703
昆泰国际公寓,朝阳门外,2室1厅,150.46平米,南,精装,低楼层(共24层),2005,塔楼,904,60083
金地仰山东区,高米店南,2室1厅,97.01平米,南 北,精装,中楼层(共9层),2012,板楼,580,59788
灵通观,建国门外,2室1厅,62.35平米,南 北,简装,中楼层(共7层),1994,板楼,446,71532
南海家园二里,大兴其它,2室1厅,78.61平米,南 北,简装,低楼层(共18层),2012,板楼,315,40072
首座御园一期,枣园,2室1厅,92.11平米,南 北,简装,中楼层(共8层),2009,板楼,350,37999
宏仁家园,马驹桥,2室1厅,85.47平米,南,精装,低楼层(共16层),2013,板楼,248,29017
冠城北园,马甸,2室1厅,149.72平米,南,简装,低楼层(共22层),2000,板楼,1230,82154
新里西斯莱公馆,高米店南,2室1厅,102.67平米,南 北,精装,中楼层(共15层),2010,板塔结合,545,53083
